DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
112100,13,1.22,2019,0.39,0.92,0.23,0.51,0.42,0.0
112102,13,1.42,2019,0.24,0.32,0.14,0.2,0.14,0.0
104100,3,0.78,2019,0.26,0.22,0.22,0.17,0.21,0.0
109100,13,0.84,2019,0.57,0.46,0.54,0.95,0.98,0.0
109101,13,1.11,2019,0.27,0.18,0.16,0.14,0.13,0.0
110120,13,0.82,2019,0.38,0.4,0.33,0.33,0.31,0.2
117102,16,0.7,2019,0.11,0.08,0.11,0.18,0.15,0.23
106102,5,1.11,2019,0.1,0.07,0.07,0.18,0.06,0.0
107102,5,0.76,2019,0.15,0.1,0.11,0.1,0.12,0.02
106100,5,1.01,2019,0.48,0.42,0.38,0.31,0.31,0.0
105100,4,0.95,2019,0.29,0.33,0.25,0.24,0.34,0.0
107100,5,1.19,2019,0.53,0.65,0.4,0.41,0.35,0.0
107101,5,0.77,2019,0.17,0.16,0.16,0.24,0.21,0.0
108101,5,0.85,2019,0.12,0.1,0.15,0.11,0.21,0.0
108100,5,0.84,2019,0.15,0.11,0.2,0.15,0.23,0.0
105102,4,0.74,2019,0.2,0.14,0.15,0.22,0.22,0.0
125100,11,0.86,2019,0.29,0.19,0.16,0.22,0.09,0.0
133150,10,0.82,2019,0.19,0.09,0.11,0.13,0.14,0.03
111195,13,1.32,2019,0.38,0.31,0.14,0.23,0.16,0.09
110100,13,1.09,2019,0.55,0.76,0.48,1.0,0.5,0.0
111100,13,0.89,2019,0.61,0.78,0.55,0.62,0.38,0.09
116105,7,1.05,2019,0.6,0.52,0.56,0.74,0.49,0.0
116100,7,0.81,2019,0.23,0.31,0.29,0.49,0.34,0.03
102100,1,0.82,2019,0.45,0.25,0.37,0.25,0.4,1.0
122100,14,0.96,2019,0.41,0.56,0.41,0.47,0.36,0.06
115107,6,0.81,2019,0.12,0.15,0.15,0.14,0.14,0.0
115100,6,1.0,2019,0.56,0.53,0.45,0.48,0.53,0.11
110150,13,0.64,2019,0.12,0.07,0.11,0.12,0.1,0.01
106103,5,0.71,2019,0.11,0.1,0.12,0.13,0.07,0.0
103101,3,0.72,2019,0.19,0.14,0.17,0.15,0.09,0.0
114101,13,0.96,2019,0.94,0.92,0.84,0.72,0.79,0.0
113180,13,0.8,2019,0.26,0.18,0.29,0.3,0.22,0.0
114103,13,0.74,2019,0.38,0.33,0.38,0.49,0.22,0.01
123100,10,0.86,2019,0.38,0.32,0.31,0.43,0.35,0.0
111101,13,0.94,2019,0.46,0.44,0.34,0.52,0.26,0.07
112101,13,0.75,2019,0.21,0.16,0.31,0.01,0.17,0.0
113100,13,0.95,2019,0.65,0.77,0.66,0.93,0.59,0.1
113130,13,1.02,2019,0.21,0.16,0.11,0.09,0.08,0.02
103100,3,0.93,2019,0.56,0.59,0.41,0.41,0.28,0.0
